Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 11.50     11.83    11.83                             Tempest::GraphicObject<Material>::bounds() const
  8.83     20.92     9.09                             Tempest::AbstractSceneObject::isVisible() const
  6.35     27.45     6.54                             GraphicsSystem::isVisible(Tempest::AbstractGraphicObject<Material> const&, GraphicsSystem::Frustum const&)
  5.18     32.78     5.33                             Terrain::buildVBO(int, int, int, int, std::vector<MVertex, std::allocator<MVertex> >&, std::vector<unsigned short, std::allocator<unsigned short> >&, bool, int)
  4.60     37.52     4.74                             GraphicsSystem::isVisible(float, float, float, float, GraphicsSystem::Frustum const&)
  3.95     41.58     4.06                             std::vector<MVertex, std::allocator<MVertex> >::size() const
  2.86     44.52     2.94                             Tempest::GraphicObject<Material>::ModelPtr<MVertex>::bounds() const
  2.54     47.13     2.61                             GraphicsSystem::MaterialSort::less(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*)
  2.16     49.35     2.22                             MVertex::operator==(MVertex const&) const
  1.69     51.09     1.74                             std::vector<MVertex, std::allocator<MVertex> >::operator[](unsigned int)
  1.45     52.58     1.49                             std::__tuple_compare<0u, 0u, 5u, std::tuple<unsigned int&, unsigned int&, float&, float&, float&>, std::tuple<unsigned int&, unsigned int&, float&, float&, float&> >::__less(std::tuple<unsigned int&, unsigned int&, float&, float&, float&> const&, std::tuple<unsigned int&, unsigned int&, float&, float&, float&> const&)
  1.08     53.69     1.11                             void Tempest::Device::drawIndexed<MVertex, unsigned short>(Tempest::AbstractAPI::PrimitiveType, Tempest::VertexShader const&, Tempest::FragmentShader const&, Tempest::VertexDeclaration const&, Tempest::VertexBuffer<MVertex> const&, Tempest::IndexBuffer<unsigned short> const&, int, int, int)
  0.93     54.65     0.96                             std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> >::size() const
  0.87     55.55     0.90                             std::_Tuple_impl<2u, float&, float&, float&>::_Tuple_impl(float&, float&, float&)
  0.86     56.43     0.88                             Tempest::GraphicObject<Material>::radius() const
  0.86     57.31     0.88                             Tempest::AbstractGraphicObject<Material>::vboHandle() const
  0.85     58.18     0.87                             std::_Tuple_impl<0u, unsigned int&, unsigned int&, float&, float&, float&>::_Tuple_impl(unsigned int&, unsigned int&, float&, float&, float&)
  0.74     58.94     0.76                             std::_Tuple_impl<1u, unsigned int&, float&, float&, float&>::_Tuple_impl(unsigned int&, float&, float&, float&)
  0.73     59.69     0.75                             Tempest::GraphicObject<Material>::sizeZ() const
  0.71     60.42     0.73                             int GraphicsSystem::draw<Tempest::Matrix4x4, Tempest::Matrix4x4 const&>(GraphicsSystem::Frustum const&, bool, Tempest::AbstractCamera const&, OcTree<Tempest::AbstractGraphicObject<Material> const*> const&, void (Material::*)(Tempest::RenderState&, Tempest::Matrix4x4 const&, Tempest::AbstractCamera const&, Tempest::UniformTable&, Tempest::Matrix4x4 const&) const, Tempest::Matrix4x4)
  0.70     61.14     0.72                             Tempest::Model<MVertex>::bounds() const
  0.70     61.86     0.72                             std::_Tuple_impl<3u, float&, float&>::_Tuple_impl(float&, float&)
  0.69     62.58     0.71                             TerrainChunk::update(Resource&)
  0.68     63.27     0.70                             void GraphicsSystem::completeDraw<Tempest::Matrix4x4, Tempest::Matrix4x4 const&>(Tempest::Render&, Tempest::AbstractCamera const&, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*), void (Material::*)(Tempest::RenderState&, Tempest::Matrix4x4 const&, Tempest::AbstractCamera const&, Tempest::UniformTable&, Tempest::Matrix4x4 const&) const, Tempest::Matrix4x4)
  0.66     63.95     0.68                             int GraphicsSystem::draw<>(GraphicsSystem::Frustum const&, bool, Tempest::AbstractCamera const&, OcTree<Tempest::AbstractGraphicObject<Material> const*> const&, void (Material::*)(Tempest::RenderState&, Tempest::Matrix4x4 const&, Tempest::AbstractCamera const&, Tempest::UniformTable&) const)
  0.65     64.63     0.67                             Tempest::AbstractGraphicObject<Material>::material() const
  0.64     65.28     0.66                             std::_Head_base<2u, float&, false>::_Head_base(float&)
  0.63     65.94     0.65                             Tempest::Half::operator=(float)
  0.60     66.56     0.62                             __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >::operator*() const
  0.58     67.16     0.60                             std::_Head_base<3u, float&, false>::_Head_base(float&)
  0.56     67.73     0.58                             Tempest::GraphicObject<Material>::sizeX() const
  0.56     68.31     0.58                             Material::shadow(Tempest::RenderState&, Tempest::Matrix4x4 const&, Tempest::AbstractCamera const&, Tempest::UniformTable&, Tempest::Matrix4x4 const&) const
  0.56     68.89     0.58                             std::_Head_base<1u, unsigned int&, false>::_Head_base(unsigned int&)
  0.56     69.47     0.58                             std::_Tuple_impl<4u, float&>::_Tuple_impl(float&)
  0.54     70.03     0.56                             std::__add_c_ref<std::tuple_element<0u, std::tuple<unsigned int&, unsigned int&, float&, float&, float&> >::type>::type std::get<0u, unsigned int&, unsigned int&, float&, float&, float&>(std::tuple<unsigned int&, unsigned int&, float&, float&, float&> const&)
  0.53     70.58     0.55                             Tempest::LocalBufferHolder<Tempest::VertexBufferHolder>::deleteObject(Tempest::AbstractAPI::VertexBuffer*)
  0.53     71.14     0.55                             __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, Tempest::AbstractGraphicObject<Material> const*, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*)>(__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, Tempest::AbstractGraphicObject<Material> const* const&, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*))
  0.52     71.67     0.54                             std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> >::operator[](unsigned int) const
  0.52     72.22     0.54                             std::tuple<unsigned int&, unsigned int&, float&, float&, float&>::tuple(unsigned int&, unsigned int&, float&, float&, float&)
  0.51     72.73     0.52                             std::_Head_base<4u, float&, false>::_Head_base(float&)
  0.50     73.25     0.51                             void Tempest::Render::draw<MVertex>(Tempest::Model<MVertex> const&)
  0.50     73.75     0.51                             std::tuple<unsigned int&, unsigned int&, float&, float&, float&> std::tie<unsigned int, unsigned int, float, float, float>(unsigned int&, unsigned int&, float&, float&, float&)
  0.48     74.25     0.49                             Tempest::GraphicObject<Material>::sizeY() const
  0.48     74.73     0.49                             std::_Head_base<0u, unsigned int&, false>::_Head_base(unsigned int&)
  0.47     75.22     0.48                             __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, void>::__type std::__fill_a<char*, int>(char*, char*, int const&)
